word1,word2,similarity_score,ground_truth_similarity_score,label
मोहब्बत,सेक्स,4.556120315922571,6.8,0
बाघ,बिल्ली,6.995613515892696,7.0,1
किताब,कागज़,6.167408679535011,7.6,1
कंप्यूटर,कीबोर्ड,7.387562037965553,7.6,1
कंप्यूटर,इंटरनेट,8.132941450713826,8.0,1
विमान,कार,7.31767268710289,6.0,1
रेलगाड़ी,कार,7.450867834864274,6.2,1
टेलीफोन,संचार,6.053940998641064,7.6,1
टेलीविजन,रेडियो,8.331559642659204,6.4,1
मीडिया,रेडियो,6.608157418148162,5.8,0
ब्रेड,मक्खन,7.836548627179952,6.6,1
खीरा,आलू,8.782092541177233,5.8,0
चिकित्सक,नर्स,7.488391360214008,7.6,1
प्रोफ़ेसर,चिकित्सक,5.749286386687572,4.6,1
छात्र,प्रोफ़ेसर,5.532458281977991,7.0,0
होशियार,छात्र,5.035466086920644,5.2,1
होशियार,बेवकूफ,6.3577828320949346,6.2,1
किताब,पुस्तकालय,5.0516877602875185,7.6,0
बैंक,पैसे,6.1510339338160955,8.0,1
लकड़ी,जंगल,6.185673835606881,7.0,1
प्रोफ़ेसर,खीरा,0.758411666286493,0.0,1
राजा,रानी,7.28768208568074,8.2,1
बिशप,रबी,0.578058240399871,7.0,0
यरूशलेम,इजराइल,5.906176421994072,7.8,0
पवित्र,सेक्स,2.5980410703753187,1.0,1
माराडोना,फ़ुटबॉल,8.157988123191851,7.8,1
फ़ुटबॉल,सॉकर,8.859201785637765,9.0,1
फ़ुटबॉल,बास्केटबाल,7.552269350716426,6.4,1
फ़ुटबॉल,टेनिस,8.141263663809932,5.8,0
टेनिस,रैकेट,5.473046101190161,7.4,0
कानून,वकील,5.814789589398181,7.8,0
चलचित्र,पॉपकॉर्न,3.776335105492074,6.6,0
चलचित्र,आलोचक,4.10788679875842,6.6,0
चलचित्र,थिएटर,6.05163569862868,8.4,1
पीना,कार,2.715610033133779,1.4,1
पीना,कान,4.698448225572693,0.4,1
पीना,मुंह,5.286826473540934,7.0,0
बच्चा,मां,6.127400871820841,7.2,1
पीना,मां,3.889408026520514,1.8,1
मणि,गहना,4.162649471955734,6.8,0
भट्ठी,स्टोव,7.859680192740015,8.4,1
भोजन,फल,7.075401261346194,6.6,1
पक्षी,सारस,8.990167314152867,7.4,1
भाई,साधु,4.486233587485648,1.4,1
यात्रा,कार,5.37722869750367,6.2,0
साधु,गुलाम,3.4327039366906966,0.2,1
कांच,जादूगर,4.556710796940359,2.0,1
पैसे,मुद्रा,5.651422961333776,8.6,0
पैसे,धन,7.155183946651427,9.2,1
पैसे,संपत्ति,6.420890290959774,8.4,1
पैसे,बैंक,6.1510339338160955,8.2,1
पैसे,जमा,6.218356762104319,6.6,1
पैसे,ऑपरेशन,3.837069793601962,2.6,1
बाघ,जैगुआर,4.950258590815874,8.0,0
बाघ,जानवर,7.793151910143622,7.6,1
बाघ,चिड़ियाघर,7.320680896576729,6.8,1
मनोविज्ञान,चिंता,4.206216371339517,6.2,0
मनोविज्ञान,डर,2.8740525565892225,5.2,1
मनोविज्ञान,डिप्रेशन,5.1419239441022135,7.0,0
मनोविज्ञान,क्लिनिक,5.181879602589628,6.4,0
मनोविज्ञान,चिकित्सक,6.00528912546365,7.0,1
मनोविज्ञान,मन,4.590188184157556,7.4,0
मनोविज्ञान,स्वास्थ्य,5.584522556640181,6.2,0
मनोविज्ञान,विज्ञान,8.348416349717052,7.0,1
मनोविज्ञान,अनुशासन,6.813349634149509,4.2,0
accuracy is:0.6461538461538462,,,,
