word1,word2,similarity_score,ground_truth_similarity_score,label
मोहब्बत,सेक्स,2.907281677810741,6.8,0
बाघ,बिल्ली,4.952309844223558,7.0,1
किताब,कागज़,4.975152143965096,7.6,1
कंप्यूटर,कीबोर्ड,7.109529308794363,7.6,1
कंप्यूटर,इंटरनेट,7.5766925328457555,8.0,1
विमान,कार,5.671211207578236,6.0,1
रेलगाड़ी,कार,6.3803332104037205,6.2,1
टेलीफोन,संचार,3.8968205300200327,7.6,0
टेलीविजन,रेडियो,7.579631821425719,6.4,1
मीडिया,रेडियो,3.863353647236197,5.8,0
ब्रेड,मक्खन,7.405226428396864,6.6,1
खीरा,आलू,7.609177039386704,5.8,1
चिकित्सक,नर्स,6.815500593597678,7.6,1
प्रोफ़ेसर,चिकित्सक,4.183706414311223,4.6,1
छात्र,प्रोफ़ेसर,4.117802024065696,7.0,1
होशियार,छात्र,0.958930125534977,5.2,0
होशियार,बेवकूफ,5.66516405438375,6.2,1
किताब,पुस्तकालय,2.717165922491036,7.6,0
बैंक,पैसे,3.718934264658258,8.0,0
लकड़ी,जंगल,4.945583607053901,7.0,1
प्रोफ़ेसर,खीरा,0.19245503706018735,0.0,1
राजा,रानी,6.203162701911512,8.2,1
बिशप,रबी,-0.7920496440657436,7.0,0
यरूशलेम,इजराइल,4.772808521768512,7.8,1
पवित्र,सेक्स,0.9219295114649418,1.0,1
माराडोना,फ़ुटबॉल,6.648805022429578,7.8,1
फ़ुटबॉल,सॉकर,8.329902596441672,9.0,1
फ़ुटबॉल,बास्केटबाल,7.287212464923086,6.4,1
फ़ुटबॉल,टेनिस,7.2909498477788315,5.8,1
टेनिस,रैकेट,2.6880578724999546,7.4,0
कानून,वकील,3.462349077217569,7.8,0
चलचित्र,पॉपकॉर्न,1.8384398578848282,6.6,0
चलचित्र,आलोचक,2.252123742385505,6.6,0
चलचित्र,थिएटर,4.249257305349758,8.4,1
पीना,कार,0.06323741998192153,1.4,1
पीना,कान,0.8611553086613345,0.4,1
पीना,मुंह,1.8902436037241603,7.0,0
बच्चा,मां,4.881159006946953,7.2,1
पीना,मां,1.7110485088355039,1.8,1
मणि,गहना,2.907707846266468,6.8,0
भट्ठी,स्टोव,7.0903189479829685,8.4,1
भोजन,फल,5.576592470503438,6.6,1
पक्षी,सारस,8.29859953563317,7.4,1
भाई,साधु,1.9574222460583073,1.4,1
यात्रा,कार,3.0940471044652087,6.2,0
साधु,गुलाम,1.8205594548693569,0.2,1
कांच,जादूगर,2.5605245756244424,2.0,1
पैसे,मुद्रा,2.1680493189349397,8.6,0
पैसे,धन,6.0893056339233524,9.2,1
पैसे,संपत्ति,4.108519931521017,8.4,1
पैसे,बैंक,3.718934264658258,8.2,0
पैसे,जमा,3.572857342731513,6.6,0
पैसे,ऑपरेशन,0.9393736766125037,2.6,1
बाघ,जैगुआर,2.1166875993875958,8.0,0
बाघ,जानवर,6.6075543826057945,7.6,1
बाघ,चिड़ियाघर,5.781770386425493,6.8,1
मनोविज्ञान,चिंता,1.359413817041678,6.2,0
मनोविज्ञान,डर,-0.8221645129401269,5.2,0
मनोविज्ञान,डिप्रेशन,2.79853375828393,7.0,0
मनोविज्ञान,क्लिनिक,2.2576481818793934,6.4,0
मनोविज्ञान,चिकित्सक,3.823003691127362,7.0,0
मनोविज्ञान,मन,2.053752953984379,7.4,0
मनोविज्ञान,स्वास्थ्य,3.799626949787661,6.2,0
मनोविज्ञान,विज्ञान,7.578861740140477,7.0,1
मनोविज्ञान,अनुशासन,4.584106777318156,4.2,1
accuracy is:0.6153846153846154,,,,
