word1,word2,similarity_score,ground_truth_similarity_score,label
मोहब्बत,सेक्स,4.112745455555337,6.8,1
बाघ,बिल्ली,6.97489285490278,7.0,1
किताब,कागज़,5.985890744075666,7.6,1
कंप्यूटर,कीबोर्ड,7.530077301527077,7.6,1
कंप्यूटर,इंटरनेट,8.131585505618155,8.0,1
विमान,कार,7.014314818851744,6.0,1
रेलगाड़ी,कार,6.653253656917779,6.2,1
टेलीफोन,संचार,6.113987091580709,7.6,1
टेलीविजन,रेडियो,8.476100720614733,6.4,1
मीडिया,रेडियो,6.366761143612636,5.8,1
ब्रेड,मक्खन,7.680883042340243,6.6,1
खीरा,आलू,8.642040494081359,5.8,1
चिकित्सक,नर्स,7.309511651884966,7.6,1
प्रोफ़ेसर,चिकित्सक,6.190771692538835,4.6,1
छात्र,प्रोफ़ेसर,5.580414206876521,7.0,1
होशियार,छात्र,5.1301720908286,5.2,1
होशियार,बेवकूफ,6.153295074024286,6.2,1
किताब,पुस्तकालय,5.099877695931731,7.6,1
बैंक,पैसे,5.893449719990672,8.0,1
लकड़ी,जंगल,6.346297496641279,7.0,1
प्रोफ़ेसर,खीरा,1.50917719779191,0.0,1
राजा,रानी,7.525456852971421,8.2,1
बिशप,रबी,1.1724321802768112,7.0,0
यरूशलेम,इजराइल,5.763266842055614,7.8,1
पवित्र,सेक्स,2.694661112321735,1.0,1
माराडोना,फ़ुटबॉल,7.882922665852371,7.8,1
फ़ुटबॉल,सॉकर,8.88037473571407,9.0,1
फ़ुटबॉल,बास्केटबाल,7.837490449288129,6.4,1
फ़ुटबॉल,टेनिस,8.265294628942325,5.8,1
टेनिस,रैकेट,5.745199938075961,7.4,1
कानून,वकील,5.455710184698503,7.8,1
चलचित्र,पॉपकॉर्न,3.934198288631624,6.6,0
चलचित्र,आलोचक,3.8334177256439417,6.6,0
चलचित्र,थिएटर,6.5069890876935474,8.4,1
पीना,कार,4.1593019907205395,1.4,0
पीना,कान,4.919636325635129,0.4,0
पीना,मुंह,5.2311195375366415,7.0,1
बच्चा,मां,5.78290800628595,7.2,1
पीना,मां,4.072490962046911,1.8,0
मणि,गहना,4.773124590539929,6.8,1
भट्ठी,स्टोव,7.744542639725745,8.4,1
भोजन,फल,6.963860268660814,6.6,1
पक्षी,सारस,9.142485369585888,7.4,1
भाई,साधु,4.01182759247042,1.4,0
यात्रा,कार,4.842876695106698,6.2,1
साधु,गुलाम,2.9473447450272454,0.2,1
कांच,जादूगर,4.502966533120995,2.0,0
पैसे,मुद्रा,5.498537574698325,8.6,1
पैसे,धन,6.731790130003475,9.2,1
पैसे,संपत्ति,6.241676760010617,8.4,1
पैसे,बैंक,5.893449719990672,8.2,1
पैसे,जमा,6.243772208045061,6.6,1
पैसे,ऑपरेशन,4.203757425386055,2.6,0
बाघ,जैगुआर,5.031122860717511,8.0,1
बाघ,जानवर,7.669291159529155,7.6,1
बाघ,चिड़ियाघर,7.363624931710133,6.8,1
मनोविज्ञान,चिंता,3.8289478665983703,6.2,0
मनोविज्ञान,डर,2.4902564661673927,5.2,0
मनोविज्ञान,डिप्रेशन,5.321744161847214,7.0,1
मनोविज्ञान,क्लिनिक,5.237718566542398,6.4,1
मनोविज्ञान,चिकित्सक,6.2418360760527385,7.0,1
मनोविज्ञान,मन,4.440145119157776,7.4,1
मनोविज्ञान,स्वास्थ्य,5.5243334675904805,6.2,1
मनोविज्ञान,विज्ञान,8.489979196912149,7.0,1
मनोविज्ञान,अनुशासन,6.586153862447894,4.2,1
accuracy is:0.8307692307692308,,,,
